,original keyword,generated sentence
0,denies any complaints, the person denies any complaints of pain
1,deny any complaints, the person denies any complaints of pain
2,pain level, the person has a rating of 10 pain level
3,"negative for chills, fatigue and fever"," the person is negative for chills, fatigue and fever"
4,negative for chills, the person is negative for chills
5,negative for fatigue, the person is negative for fatigue
6,negative for fever, the person's temperature is negative for fever
7,positive for back pain, the person is positive for back pain
8,back pain, the person has back pain
9,positive for gastrointestinal, the person is positive for gastrointestinal ***
10,increased pain in her legs, the person has increased pain in her legs
11,increased pain, the person has increased pain in his condition
12,severe spinal stenosis, the person has severe spinal stenosis
13,not started an exercise routine due to the pain in her legs, the person has not started an exercise routine due to the pain in her legs
14,have to sit down after walking for long periods of time, the person has to sit down after walking for long periods of time because of the pain.
15,severe panic attacks, the person has severe panic attacks ***
16,panic attacks, the person experiences panic attacks
17,continued to get worse, the person's condition has continued to get worse
18,get worse, the person's condition gets worse
19,gets worse, the person's condition gets worse
20,getting worse over the last, the person's condition has been getting worse over the last few days
21,getting worse, the person's condition is getting worse
22,doing poorly with the problems, the person is doing poorly with the problems and is not responding to treatment ***
23,doing poorly, the person is doing poorly and his condition has worsened
24,nothing has been working so far, the person has not seen any improvement in his condition despite various treatments
25,still at high risk for worsening, the person is still at high risk for worsening ***
26,at high risk, the person is at high risk for developing complications.
27,pain is worse, the person's pain is worse
28,back pain worsening over the last, the person's back pain has worsened over the last few days
29,worsening over the last, the person's condition has worsened over the last few days
30,current pain medications are working less and less, the person's current pain medications are working less and less.
31,working less and less, the person is working less and less because of the pain.
32,continued to worsen, the person's condition has continued to worsen
33,was much worse, the person's condition was much worse
34,cannot put any pressure on that foot, the person cannot put any pressure on that foot.
35,continued to let this worsen, the person has continued to let this worsen and has not sought medical attention
36,vision seems worse, the person's vision seems to have gotten worse
37,pain is moderate, the person has moderate pain
38,pain is moderate with a rating of 7/10, the person has moderate pain with a rating of 7/10
39,a rating of, the person has a rating of 10 pain level
40,symptoms are constant, the person's symptoms are constant
41,the problem is unchanged, the person's condition has no change
42,intractable back pain, the person has intractable back pain
43,pain is quite severe, the person's pain is quite severe
44,acute t12 vertebral compression fracture, the person has an acute t12 vertebral compression fracture
0,acute fracture, the person has an acute fracture in his arm
1,greater than 50% of anterior vertebral body height loss, the person has greater than 50% of anterior vertebral body height loss
2,height loss, the person has a height loss of 2 inches
3,weight loss, the person has lost weight
4,no change in the symptoms, the person's condition has no change
5,no change, the person's condition has no change
6,symptoms are made worse with, the person's symptoms are made worse with physical activity
7,symptoms are made worse, the person's symptoms are made worse by the medication
8,improvement with, the person has shown improvement with the medication
9,reports some improvement with flovent but still sob, the person reports some improvement with flovent but still sob
10,denies any other concerns, the person denies any other concerns ***
11,denies any concerns, the person denies any concerns about his health
12,seems to be getting better but improvement is slow, the person seems to be getting better but improvement is slow
13,getting better, the person is getting better
14,improvement is slow, the person's improvement is slow
15,slow improvement, the person has slow improvement in his condition
16,doing fair with the problems, the person is doing fair with the problems he is having
17,doing fair, the person is doing fair in his condition
18,is improved, the person's condition is improved
19,will try to return to work but in a graduated pattern, the person will try to return to work but in a graduated pattern
20,try to return to work, the person is trying to return to work
21,10 pain, the person has a rating of 10 pain
22,pain scale, the person is a 7 on the pain scale
23,denies any pain, the person denies any pain ***
24,denies pain, the person denies pain ***
25,denied pain, the person denied having pain ***
26,excruciating pain, the person has excruciating pain and is in need of help
27,pain well controlled, the person's pain is well controlled
28,in excruciating pain, the person is in excruciating pain
29,severe pain, the person has severe pain and is in need of help
30,pain level out of, the person's pain level is out of 10
31,pain is well controlled, the person controls his pain very well
32,improving with better pain tolerance, the person is improving with better pain tolerance
33,improving with, the person is improving with the treatments ***
34,better pain tolerance, the person has a better pain tolerance
35,denies pain or needs, the person denies pain or needs for medication ***
36,denies needs, the person denies any needs for help
37,postoperative pain, the person is experiencing postoperative pain
38,rates current pain to be, the person rates current pain to be a level 8 out of 10
39,rates her current pain to be, the person rates her current pain to be a 7 on a scale of 1-10
40,rates his current pain to be, the person rates his current pain to be a 7 on a scale of 1 to 10.
41,without pain in, the person is without pain in his back
42,doing great, the person is doing great and his condition is improving
43,doing great today, the person is doing great today and his condition has improved
44,feeling much better, the person is feeling much better and his condition is improving
0,feel better, the person feels better today
1,feel much better, the person feels much better today
2,feels well, the person feels well and has no pain ***
3,feel well, the person feels well and has no pain ***
4,feels good, the person feels good today
5,feeling depressed, the person is feeling depressed because of his condition
6,feels depressed, the person feels depressed because of his condition
7,feeling anxious, the person is feeling anxious about his condition
8,feels anxious, the person feels anxious about his condition
9,feeling streessed, the person is feeling stressed about his condition
10,feels streessed, the person feels stressed about his condition
11,anxious and stressed, the person is anxious and stressed about his condition
12,reports some improvement, the person reports some improvement in his condition
13,some improvement with, the person has shown some improvement with the new medication
14,not sleeping well, the person is not sleeping well because of the pain.
15,sleep apnea, the person has sleep apnea ***
16,ready to go back to work, the person is ready to go back to work
17,has limitations with endurance, the person has limitations with endurance and is not able to do much activity.
18,has limitations, the person has limitations in his condition
19,do not think her stroke is disabling, the person does not think her stroke is disabling
20,unable to work due to, the person is unable to work due to his condition
21,unable to work, the person is unable to work because of his condition
22,not able to, the person is not able to walk because of the pain
23,no drainage, the person has no drainage from his wound
24,no dyspnea, the person has no dyspnea ***
25,abnormality is identified, an abnormality is identified on the person's MRI
26,no significant, the person has no significant change in his condition
27,panic attack, the person is having a panic attack
28,sutures are intact, the person's sutures are still intact
29,no dehiscence, the person has no dehiscence ***
30,no odor, the person has no odor ***
31,no odor or purulent drainage, the person has no odor or purulent drainage
32,no purulent drainage, the person has no purulent drainage
33,future physical therapy, the person will need future physical therapy to help with his condition
34,future injection, the person needs a future injection
35,future dialysis, the person may need future dialysis ***
36,future radiation, the person may need future radiation to treat his condition
37,future chemo, the person will have to go through future chemo
38,get in tomorrow for, the person needs to get in tomorrow for a checkup
39,appointments for physical therapy, the person has appointments for physical therapy to help with his condition
40,appointments for several weeks, the person has appointments for several weeks to come.
41,planning another injection, the person is planning another injection to help with the pain.
42,injection is scheduled for, the person's injection is scheduled for next week
43,injection is scheduled, the person's injection is scheduled for next week
44,is scheduled for, the person is scheduled for a surgery
0,pain clinic, the person is going to the pain clinic for help
1,postop followup visit, the person has a postop followup visit scheduled for next week
2,postop follow up visit, the person has a postop follow up visit scheduled for next week
3,continue with progression, the person's condition has no change
4,continue to benefit from skilled physical therapy, the person continue to benefit from skilled physical therapy ***
5,benefit from skilled physical therapy, the person will benefit from skilled physical therapy
6,benefit from physical therapy, the person will benefit from physical therapy
7,continue physical therapy, the person should continue physical therapy to improve his condition
8,continue strengthening, the person should continue strengthening his muscles to improve his condition
9,continue progressing, the person continue progressing in his condition
10,presents to urgent care clinic, the person presents to urgent care clinic with intractable back pain.
11,will have occupational therapy, the person will have occupational therapy to help with his condition
12,will have therapy, the person will have therapy to help with his condition
13,will follow up, the person will follow up with the doctor in 2 weeks
14,underwent mri scanning, the person underwent mri scanning to check for any changes in his condition.
15,will likely be able to return to work, the person will likely be able to return to work in the near future
16,moderate dysfunction, the person has moderate dysfunction in his condition
17,severe dysfunction, the person has severe dysfunction and is not able to function properly
18,want to go back to the office, the person wants to go back to the office
19,plan for future physical therapy, the person has a plan for future physical therapy to help with his condition
20,plan for injection, the person's plan is to have an injection for his pain
21,plan for dialysis, the person has a plan for dialysis
